post_id,comment_id,comment_index,corrected_topics,classification_status,review,inital_topic_by_LLM
1qb7402,nz9213z,3,Secure IDE Configuration,,,Secure IDE Configuration
1p6xovt,nquy4n9,1,Secure IDE Configuration;Sensitive File Protection,,,Secure IDE Configuration;Sensitive File Protection
1p8nytd,nr6k0c9,2,Use Local LLM,,,Use Local LLM
1p8nytd,nr6wf58,6,Sensitive File Protection,,,Sensitive File Protection
1r8x8vf,o68an7y,1,Disable Telemetry,,,Disable Telemetry
1pm2gjl,ntx85gd,0,Disable Telemetry,,,Disable Telemetry
1pm2gjl,nutxjqs,4,Secure IDE Configuration,,wrong tag,Refer to Documentation
1r8x8vf,o698gau,8,Disable Telemetry,,,Disable Telemetry
1r8x8vf,o69gdtb,12,Disable Telemetry;Use Local LLM,,,Disable Telemetry;Use Local LLM
1s6o2rr,od3kbf4,1,Secure IDE Configuration,,,Secure IDE Configuration
1s6o2rr,od6ss5k,6,Secure IDE Configuration,,,Secure IDE Configuration
1qjizpb,o14tm18,12,Manual Code Verification,,,Manual Code Verification
1qjizpb,o148hvg,11,Tool/Extension Monitoring,,,Tool/Extension Monitoring
1qjizpb,o1a7iwr,15,Logging and Monitoring,,,Logging and Monitoring
1p90xsq,nrbfe3w,3,Use Local LLM,,,Use Local LLM
1p90xsq,nrbh1un,5,Consult Vendors,,,Consult Vendors
1p90xsq,nrb1rq5,0,Sandboxing,,,Sandboxing
1p90xsq,nrn5hmt,26,Refer to Documentation,,wrong label/it asks the user to know about prompt injection,Refer to Documentation
1pt3vcm,nve75c7,2,Use Version Control,,,Use Version Control
1pt3vcm,nve95lx,5,Use Version Control,,,Use Version Control
1pt3vcm,nvee0cn,9,Use Version Control,,,Use Version Control
1pt3vcm,nvei8a3,15,Manual Code Verification;Use Version Control,,"Interesting case, refers to Agents.MD",Manual Code Verification;Use Version Control
1pt3vcm,nveovfb,19,Use Version Control,,,Use Version Control
1pt3vcm,nvehteq,12,Use Version Control,,,Use Version Control
1pt3vcm,nvettwn,23,Use Version Control,,,Use Version Control
1pt3vcm,nvf4fmz,26,Secure IDE Configuration,,,Secure IDE Configuration
1pt3vcm,nvf4xn7,27,Sandboxing,,,Sandboxing
1pt3vcm,nvf92zm,30,Secure IDE Configuration,,,Secure IDE Configuration
1pt3vcm,nvfe265,32,Secure IDE Configuration,,,Secure IDE Configuration
1pt3vcm,nvf8kld,29,Secure IDE Configuration,,,Secure IDE Configuration
1pt3vcm,nvfvfl9,34,Use Version Control,,,Use Version Control
1pt3vcm,nvg34hq,38,Use Version Control,,,Use Version Control
1pt3vcm,nvglzk1,44,Secure IDE Configuration,,,Secure IDE Configuration
1pt3vcm,nvhsq51,46,Manual Code Verification;Use Version Control,,,Manual Code Verification;Use Version Control
1pt3vcm,nvnr0w4,50,Sandboxing,,,Sandboxing
1pt3vcm,nw7vn26,53,Secure IDE Configuration;Use Version Control,,refers to Agents.md,Refer to Documentation;
1pt3vcm,nvoggtd,52,Secure IDE Configuration;Use Version Control,,refers to Agents.md,Use Version Control
1qdzhuf,nztncm6,1,Sandboxing,,,Sandboxing
1qdzhuf,nzut9vg,5,Secure IDE Configuration;Use Version Control,,,Secure IDE Configuration;Use Version Control
1qdzhuf,nztn9z0,0,Use Version Control,,,Use Version Control
1qdzhuf,nzvv2it,6,Use Version Control,,,Use Version Control
1qdzhuf,nzttkti,3,Secure IDE Configuration,,,Secure IDE Configuration
1qdzhuf,nzw9wcs,9,Use Version Control,,,Use Version Control
1qdzhuf,nzw8fzy,8,Use Version Control,,,Use Version Control
1qdzhuf,nzwaeg7,10,Use Version Control,,,Use Version Control
1qdzhuf,nztyldn,4,Use Version Control,,,Use Version Control
1qdzhuf,nzwowfy,11,Use Version Control,,,Use Version Control
1qo8rk8,o1zkpoh,1,Sandboxing,,,Sandboxing
1qo8rk8,o1zkp9h,0,Secure IDE Configuration,,,Secure IDE Configuration
1qdzhuf,o0fy0cf,20,Use Version Control,,,Use Version Control
1qdzhuf,nzz9mtm,12,Sensitive File Protection,,,Sensitive File Protection
1qo8rk8,o22hhxn,9,Secure IDE Configuration,,,Secure IDE Configuration
1qo8rk8,o20fuvx,7,Secure IDE Configuration;Use Version Control,,,Secure IDE Configuration;Use Version Control
1qo8rk8,o1znxi0,3,Use Version Control,,,Use Version Control
1qo8rk8,o20d09x,6,Secure IDE Configuration,,,Secure IDE Configuration
1qo8rk8,o23kefv,10,Tool/Extension Monitoring,,,Tool/Extension Monitoring
1qo8rk8,o28968y,24,Manual Code Verification,,,Manual Code Verification
1qo8rk8,o2r3mns,26,Use Version Control,,,Use Version Control
1qo8rk8,o2814hn,23,Refer to Documentation,,,Refer to Documentation
1qo8rk8,o2rk2x5,30,Use Version Control,,,Use Version Control
1qo8rk8,o2rpv4j,31,Use Version Control,,,Use Version Control
1s4agur,oclp8ao,4,Consult Vendors,,,Consult Vendors
1pmfi7y,ntzl1g9,3,Check Organizational Compliance;Logging and Monitoring,,,Check Organizational Compliance;Logging and Monitoring
1pmfi7y,ntzhp9y,1,Check Organizational Compliance;Secure IDE Configuration,,,Check Organizational Compliance;Secure IDE Configuration
1pmfi7y,ntzsqe7,5,Manual Code Verification,,,Manual Code Verification
1pmfi7y,nu09yaq,10,Use Version Control,,,Use Version Control
1pmfi7y,nu0shp8,14,Use Version Control,,,Use Version Control
1pmfi7y,nu0pcra,12,Logging and Monitoring,,,Logging and Monitoring
1pmfi7y,nu12ckk,18,Sensitive File Protection,,,Sensitive File Protection
1pbi0lv,nrrpgc9,2,Consult Vendors,,,Consult Vendors
1pcl58p,nselzkl,14,Logging and Monitoring;Manual Code Verification,,,Logging and Monitoring;Manual Code Verification
1pcl58p,nrzno47,5,Manual Code Verification,,,Manual Code Verification
1pcl58p,nspwxh4,16,Logging and Monitoring;Sensitive File Protection,,,Logging and Monitoring;Sensitive File Protection
1pcl58p,ntg0afu,20,Logging and Monitoring,,,Logging and Monitoring
1qyfbkm,o433jfc,0,Secure IDE Configuration,,,Secure IDE Configuration
1q2in98,nxdbi37,0,Sensitive File Protection,,,Sensitive File Protection
1pqx586,nuzd0im,0,Use Version Control,,,Use Version Control
1q2in98,nxde1o1,2,Sensitive File Protection,,,Sensitive File Protection
1q2in98,nxdfzts,4,Use Local LLM,,,Use Local LLM
1q2in98,nxdisxk,6,Use Local LLM,,,Use Local LLM
1q2in98,nxdjayb,7,Sensitive File Protection,,,Sensitive File Protection
1q2in98,nxdc80a,1,Secure IDE Configuration;Sensitive File Protection,,,Secure IDE Configuration;Sensitive File Protection
1q2in98,nxdsb46,14,Use Local LLM,,,Use Local LLM
1q2in98,nxdu7a3,15,Sensitive File Protection,,,Sensitive File Protection
1q2in98,nxdnwyt,10,Sensitive File Protection,,,Sensitive File Protection
1q2in98,nxdqnit,13,Sensitive File Protection,,,Sensitive File Protection
1q2in98,nxdy4j6,16,Secure IDE Configuration,,,Secure IDE Configuration
1q2in98,nxey31i,24,Use Local LLM,,,Use Local LLM
1q2in98,nxe7zwl,17,Secure IDE Configuration;Sensitive File Protection,,,Secure IDE Configuration;Sensitive File Protection
1q2in98,nxexlrq,22,Use Local LLM,,,Use Local LLM
1p02vkw,npmhjsj,1,Check Organizational Compliance,,,Check Organizational Compliance
1pt6j53,nveqau8,4,Use Local LLM,,,Use Local LLM
1p8f96i,nr6rj75,3,Disable Telemetry;Refer to Documentation,,,Disable Telemetry;Refer to Documentation
1pt6j53,nvesvx3,10,Use Local LLM,,,Use Local LLM
1pt6j53,nvep361,1,Check Organizational Compliance,,,Check Organizational Compliance
1pt6j53,nveu1en,14,Use Local LLM,,,Use Local LLM
1pt6j53,nver0ok,5,Consult Vendors,,,Consult Vendors
1pt6j53,nvfmui3,27,Consult Vendors,,,Consult Vendors
1pt6j53,nvgvnov,31,Sensitive File Protection,,,Sensitive File Protection
1pt6j53,nvfu7im,29,Sensitive File Protection,,,Sensitive File Protection
1p0byuq,npi797u,1,Secure IDE Configuration,,,Secure IDE Configuration
1p1195j,npnqz7p,5,Memory/Context Isolation,,,Memory/Context Isolation
1pt6j53,nvf3hdm,21,Check Organizational Compliance,,,Check Organizational Compliance
1p1195j,npmzvy9,2,Check Organizational Compliance,,,Check Organizational Compliance
1p1195j,npnuk75,6,Memory/Context Isolation,,,Memory/Context Isolation
1ri73m7,o85ajld,3,Secure IDE Configuration,,,Secure IDE Configuration
1pe591t,ns9wq5k,0,Sandboxing,,,Sandboxing
1p5tbg9,nqm5555,1,Manual Code Verification,,,Manual Code Verification
1p5tbg9,nqm5xu3,2,Memory/Context Isolation,,,Memory/Context Isolation
1pdwm8c,ns8ejw3,6,Manual Code Verification,,,Manual Code Verification
1pdwm8c,ns8eno6,7,Manual Code Verification,,,Manual Code Verification
1pdwm8c,ns8eyw0,10,Logging and Monitoring;Tool/Extension Monitoring,,,Logging and Monitoring;Tool/Extension Monitoring
1pdwm8c,ns8jh48,15,Tool/Extension Monitoring,,,Tool/Extension Monitoring
1pdwm8c,ns8jp0l,16,Check Organizational Compliance,,,Check Organizational Compliance
1pdwm8c,nsskwvf,32,Tool/Extension Monitoring,,,Tool/Extension Monitoring
1qu0qld,o39o9gy,18,Secure IDE Configuration,,,Secure IDE Configuration
1qu0qld,o36wqjf,5,Sandboxing,,,Sandboxing
1qu0qld,o3ccc3a,27,Tool/Extension Monitoring,,,Tool/Extension Monitoring
1qu0qld,o3h1q7p,33,Manual Code Verification,,,Manual Code Verification
1qu0qld,o3ods5w,39,Secure IDE Configuration,,,Secure IDE Configuration
1qu0qld,o3ncj1g,38,Sandboxing,,,Sandboxing
1qu0qld,o4b338w,45,Sandboxing,,,Sandboxing
1s099km,obsqn15,5,Manual Code Verification,,,Manual Code Verification
1pcf3q6,nrxgnre,4,Secure IDE Configuration,,,Secure IDE Configuration
1pcf3q6,nrzbypt,20,Secure IDE Configuration;Tool/Extension Monitoring,,,Secure IDE Configuration;Tool/Extension Monitoring
1pcf3q6,nryxxb4,18,Secure IDE Configuration,,,Secure IDE Configuration
1qdhhm2,nzqbver,1,Disable Telemetry,,,Disable Telemetry
1pcf3q6,ns5ovt7,30,Secure IDE Configuration,,,Secure IDE Configuration
1jxx62j,mn1d091,0,Use Local LLM,,Use Local LLM,
1jxx62j,mmvcczx,12,Use Local LLM,,,Use Local LLM
1jiinr2,mjgjr4g,2,Refer to Documentation,,,Refer to Documentation;Secure IDE Configuration
1l304xo,mvximwm,0,Sensitive File Protection,,,Secure IDE Configuration;Sensitive File Protection
1l304xo,mw2b4xo,2,Sensitive File Protection,,,Secure IDE Configuration;Sensitive File Protection
1l304xo,mvxp751,3,Secure IDE Configuration;Sensitive File Protection,,,Secure IDE Configuration;Sensitive File Protection
1l304xo,mvyj36a,5,Sensitive File Protection,,,Sensitive File Protection
1l304xo,mvywolc,7,Sensitive File Protection,,,Sensitive File Protection
1l304xo,mw3dzw7,14,Sensitive File Protection,,,Sensitive File Protection
1md3yhp,n62if4i,3,Memory/Context Isolation;Sensitive File Protection,,,Tool/Extension Monitoring
13b4u1v,jj9kfr1,1,Consult Vendors,,,Consult Vendors;Refer to Documentation
13b4u1v,jj9jalh,0,Consult Vendors,,,No suggestion
14us5j9,jr92n4i,1,Consult Vendors,,,Consult Vendors
188u252,kbmy7i6,1,Consult Vendors,,,No suggestion
18xi4bq,kg4890b,0,Consult Vendors,,,No suggestion
18xi4bq,kg4nsql,1,Memory/Context Isolation,,,No suggestion
18xi4bq,kg4beaq,2,Refer to Documentation,,,Refer to Documentation
18xi4bq,kg4ge6r,3,Use Local LLM,,,Use Local LLM
18xi4bq,kg9vinv,5,Use Local LLM,,,Use Local LLM
18xi4bq,kh7namk,6,Memory/Context Isolation,,,Use Local LLM
18xi4bq,khe2b42,7,Use Local LLM,,,Refer to Documentation; Use Local LLM
1969z47,khsat6m,1,Consult Vendors,,,No suggestion
1969z47,khsb202,2,Refer to Documentation,,,Refer to Documentation
1969z47,khxfsmd,6,Data Redaction,,Data Redaction,Data Sanitization
1969z47,khxgubi,7,Data Redaction,,Data Redaction,Data Sanitization
1cj0v3q,l2dmqwy,1,Use Local LLM,,,Use Local LLM
1ek916u,lgizszl,0,Consult Vendors,,,Consult Vendors
1hebtm4,m25bsil,1,Memory/Context Isolation,,,Memory/Context Isolation;Secure IDE Configuration
1hebtm4,m25djqh,2,Memory/Context Isolation,,,Consult Vendors;Memory/Context Isolation
1hebtm4,m238bkf,4,Memory/Context Isolation,,,Memory/Context Isolation;Secure IDE Configuration
1hebtm4,m9jrg7g,7,Memory/Context Isolation,,,Memory/Context Isolation
1hebtm4,m259x4r,9,Memory/Context Isolation,,,Memory/Context Isolation
1hebtm4,m25b8ge,11,Memory/Context Isolation,,,Memory/Context Isolation;Secure IDE Configuration
1hebtm4,mbx1ruo,13,Memory/Context Isolation,,,Consult Vendors;Memory/Context Isolation
1hebtm4,mbx1sox,14,Memory/Context Isolation,,,Consult Vendors;Memory/Context Isolation
1hebtm4,meoq28a,17,Memory/Context Isolation,,,Memory/Context Isolation
1im3a4m,mc1xfpe,3,Use Local LLM,,,Use Local LLM
1im3a4m,mc0xxz4,2,Use Local LLM,,,Use Local LLM
1im3a4m,mc05upl,10,Secure IDE Configuration,,,
1im3a4m,mc0gth8,11,Disable Telemetry;Memory/Context Isolation,,,Disable Telemetry;Memory/Context Isolation
1im3a4m,mc0gzng,28,Memory/Context Isolation,,,Memory/Context Isolation
1im3a4m,mc09ite,25,isolation from internet,Uncategorized,isolation from internet,
1im3a4m,mbzyk90,34,Disable Telemetry,,,Disable Telemetry
1im3a4m,mbzx837,55,Consult Vendors,,,Consult Vendors;Disable Telemetry
1im3a4m,mc070im,58,Sensitive File Protection;Use Local LLM,,,Sensitive File Protection;Use Local LLM
1im3a4m,mc08qhb,60,isolation from internet,,isolation from internet,Memory/Context Isolation
1im3a4m,mc0m0m2,69,Sensitive File Protection,,,Sensitive File Protection
1im3a4m,mc0crp7,72,Sensitive File Protection,,,Sensitive File Protection
1im3a4m,mc151x9,86,Refer to Documentation,,,Consult Vendors;Memory/Context Isolation;Refer to Documentation
1im3a4m,mc4dyhl,89,Sensitive File Protection,,,Tool/Extension Monitoring
1im3a4m,mc02rz7,91,Use Local LLM,,,Use Local LLM
1im3a4m,mpgtghu,90,Sandboxing,,,Consult Vendors
1o3ojpn,nixkmwj,3,Use Local LLM,,,Consult Vendors;Use Local LLM
1o3ojpn,niwrl5c,2,Use Local LLM,,,Use Local LLM
1o3ojpn,niwkwik,8,Use Local LLM,,,Use Local LLM
1o3ojpn,niwljq3,10,Use Local LLM,,,Use Local LLM
1o3ojpn,nizdkfx,16,Use Local LLM,,,Use Local LLM
