post_id,comment_id,comment_index,matched_topics,classification_status
1p2n06x,npyib9b,1,,not_a_suggestion
1p2n06x,npyoxgg,2,,not_a_suggestion
1p2n06x,nq0pyko,3,,not_a_suggestion
1p2n06x,nq0uctw,4,,not_a_suggestion
1p2n06x,npygj71,0,,not_a_suggestion
1p2n06x,nq1v1zi,6,,not_a_suggestion
1p2n06x,nq1qjpz,5,,not_a_suggestion
1p2n06x,nq2ak1h,7,,not_a_suggestion
1p0byuq,nphmf3s,0,,not_a_suggestion
1p2n06x,nqcaupd,9,,not_a_suggestion
1p6xovt,nqtob4b,0,,not_a_suggestion
1p6xovt,nqv0p8s,2,,not_a_suggestion
1p6xovt,nqv1bsw,3,,not_a_suggestion
1p2n06x,nq9w9ne,8,,not_a_suggestion
1p6xovt,nqvm986,4,,not_a_suggestion
1qb7402,nz8r2s9,1,,not_a_suggestion
1qb7402,nz8wq8d,2,,not_a_suggestion
1qb7402,nz9213z,3,Secure IDE Configuration,
1qb7402,nz97o66,5,,not_a_suggestion
1p6xovt,nquy4n9,1,Secure IDE Configuration;Sensitive File Protection,
1qb7402,nz97ic6,4,,not_a_suggestion
1qb7402,nzbcbhz,6,,not_a_suggestion
1p8nytd,nr6j971,0,,not_a_suggestion
1p8nytd,nr6jb0l,1,Secure IDE Configuration;Sensitive File Protection,not_a_suggestion
1qb7402,nzfbkxt,8,,not_a_suggestion
1p8nytd,nr6k0c9,2,Use Local LLM,
1qb7402,nzfb5gv,7,Secure IDE Configuration,
1p8nytd,nr6njde,3,,not_a_suggestion
1p8nytd,nr6vzvh,5,,not_a_suggestion
1p8nytd,nr6u7l6,4,Sensitive File Protection,
1p8nytd,nr6y10i,8,,not_a_suggestion
1p8nytd,nr6wf58,6,Sensitive File Protection,
1p8nytd,nr72u41,9,,not_a_suggestion
1p8nytd,nr73wcv,10,,not_a_suggestion
1p8nytd,nr8a58o,12,,not_a_suggestion
1p8nytd,nr83d65,11,,not_a_suggestion
1r70cf3,o5ukks0,0,,not_a_suggestion
1r70cf3,o66hv2x,1,,not_a_suggestion
1r8x8vf,o687qna,0,,not_a_suggestion
1qb7402,nz8ns15,0,,not_a_suggestion
1p8nytd,nr6wk6s,7,,not_a_suggestion
1r8x8vf,o68an7y,1,Disable Telemetry,
1r8x8vf,o68bjky,2,,not_a_suggestion
1r8x8vf,o6939bz,5,,not_a_suggestion
1r8x8vf,o68d2ee,3,,not_a_suggestion
1r8x8vf,o6978ni,7,,not_a_suggestion
1r8x8vf,o68jsvb,4,,not_a_suggestion
1r8x8vf,o693cqe,6,,not_a_suggestion
1r8x8vf,o6992jk,9,,not_a_suggestion
1r8x8vf,o699yh7,10,,not_a_suggestion
1r8x8vf,o6bpn69,13,,not_a_suggestion
1r8x8vf,o69bau5,11,,not_a_suggestion
1r8x8vf,o6ckrj7,14,,not_a_suggestion
1pm2gjl,ntx85gd,0,Disable Telemetry,
1pm2gjl,nubckcs,2,,not_a_suggestion
1pm2gjl,nu61nv7,1,,not_a_suggestion
1pm2gjl,nuovape,3,,not_a_suggestion
1pm2gjl,nutxjqs,4,Refer to Documentation,
1r8x8vf,o698gau,8,Disable Telemetry,
1s6o2rr,od3g94u,0,,not_a_suggestion
1r8x8vf,o69gdtb,12,Disable Telemetry;Use Local LLM,
1pm2gjl,o6j9uc2,5,,not_a_suggestion
1s6o2rr,od3kbf4,1,Secure IDE Configuration,
1s6o2rr,od3r91c,2,Secure IDE Configuration,
1s6o2rr,od6lvbt,5,,not_a_suggestion
1s6o2rr,od6agi9,4,,not_a_suggestion
1s6o2rr,odbcnzk,8,,not_a_suggestion
1s6o2rr,od5ahmv,3,,not_a_suggestion
1s6o2rr,oda0tfe,7,,not_a_suggestion
1s6o2rr,od6ss5k,6,Secure IDE Configuration,
1qjizpb,o0zqwjs,0,,not_a_suggestion
1qjizpb,o10ohxv,3,,not_a_suggestion
1qjizpb,o10m117,2,,not_a_suggestion
1qjizpb,o11y748,4,,not_a_suggestion
1qjizpb,o126dk4,7,,not_a_suggestion
1qjizpb,o12i30f,8,,not_a_suggestion
1qjizpb,o11yxok,6,,not_a_suggestion
1qjizpb,o11ytkr,5,,not_a_suggestion
1qjizpb,o141u52,9,,not_a_suggestion
1qjizpb,o143bh3,10,,not_a_suggestion
1qjizpb,o14tm18,12,Manual Code Verification,
1qjizpb,o148hvg,11,Tool/Extension Monitoring,
1qjizpb,o16mlg7,14,,not_a_suggestion
1qjizpb,o1abs18,16,,not_a_suggestion
1qjizpb,o1a7iwr,15,Logging and Monitoring,
1qjizpb,o1mlf60,18,,not_a_suggestion
1qjizpb,o1083pr,1,Sensitive File Protection,
1qjizpb,o1mvpmk,20,,not_a_suggestion
1qjizpb,o1mpgpr,19,,not_a_suggestion
1qjizpb,o1xqc7e,22,,not_a_suggestion
1qjizpb,o1m7p0p,17,Secure IDE Configuration,
1qjizpb,o1zw5hi,23,,not_a_suggestion
1qjizpb,o1r53wj,21,,not_a_suggestion
1qjizpb,o53dusc,24,,not_a_suggestion
1p90xsq,nrbf2pz,2,,not_a_suggestion
1p90xsq,nrb4wne,1,,not_a_suggestion
1qjizpb,o15vdws,13,Secure IDE Configuration;Tool/Extension Monitoring,
1p90xsq,nrbfe3w,3,Use Local LLM,
1p90xsq,nrbh8m3,6,,not_a_suggestion
1p90xsq,nrbl9ow,7,,not_a_suggestion
1p90xsq,nrbh1un,5,Consult Vendors,
1p90xsq,nrbv9g0,9,,not_a_suggestion
1p90xsq,nrb1rq5,0,Sandboxing,
1p90xsq,nrbph5x,8,,not_a_suggestion
1p90xsq,nrcdc3i,11,,not_a_suggestion
1p90xsq,nrc9b8i,10,,not_a_suggestion
1p90xsq,nrckyp4,13,,not_a_suggestion
1p90xsq,nrcmf6u,14,,not_a_suggestion
1p90xsq,nrcivy7,12,,not_a_suggestion
1p90xsq,nrcpbg1,17,,not_a_suggestion
1p90xsq,nrcwyai,18,,not_a_suggestion
1p90xsq,nrcora8,16,,not_a_suggestion
1p90xsq,nrbfjrw,4,,not_a_suggestion
1p90xsq,nrcoqrx,15,,not_a_suggestion
1p90xsq,nrdh3bb,21,,not_a_suggestion
1p90xsq,nrf3arv,22,,not_a_suggestion
1p90xsq,nrdgrnf,20,Consult Vendors,
1p90xsq,nrfhq47,24,,not_a_suggestion
1p90xsq,nrdfgb1,19,,not_a_suggestion
1p90xsq,nrfjihw,25,,not_a_suggestion
1pibrra,nt5p0i5,1,,not_a_suggestion
1pibrra,nt69zhx,2,,not_a_suggestion
1p90xsq,nrf8prc,23,,not_a_suggestion
1pibrra,nt71kla,3,,not_a_suggestion
1pibrra,nt9r2ds,5,,not_a_suggestion
1pibrra,nt7vi9y,4,,not_a_suggestion
1pibrra,nt5cdtd,0,,not_a_suggestion
1p90xsq,nrn5hmt,26,Refer to Documentation,
1prtxxa,nv4jaat,0,,not_a_suggestion
1pibrra,nto3nlm,6,,not_a_suggestion
1prtxxa,nv55sna,1,,not_a_suggestion
1pt3vcm,nve6awo,1,,not_a_suggestion
1pt3vcm,nve77xr,3,,not_a_suggestion
1pt3vcm,nve75c7,2,Use Version Control,
1pt3vcm,nve95lx,5,Use Version Control,
1pt3vcm,nvebhpy,6,,not_a_suggestion
1pt3vcm,nve7bs7,4,,not_a_suggestion
1pt3vcm,nvebpqs,7,,not_a_suggestion
1pt3vcm,nveg51g,10,,not_a_suggestion
1pt3vcm,nveg8f8,11,,not_a_suggestion
1pt3vcm,nvee0cn,9,Use Version Control,
1pt3vcm,nvecfti,8,,not_a_suggestion
1pt3vcm,nvei7j3,14,,not_a_suggestion
1pt3vcm,nvei4rj,13,,not_a_suggestion
1pt3vcm,nveiz0g,16,,not_a_suggestion
1pt3vcm,nvejray,17,,not_a_suggestion
1pt3vcm,nvei8a3,15,Manual Code Verification;Use Version Control,
1pt3vcm,nve5btp,0,Tool/Extension Monitoring,
1pt3vcm,nvejvls,18,,not_a_suggestion
1pt3vcm,nveovfb,19,Use Version Control,
1pt3vcm,nvesi97,21,,not_a_suggestion
1pt3vcm,nvehteq,12,Use Version Control,
